S. No.,university,college,College Type,State Name,District Name
5904,"Choudhary Charan Singh University, Meerut ","J.V.College, Baraut (Baghpat) Mob.No.9411023134, 01234-262130 ",Affiliated College,Uttar Pradesh,Baghpat
5905,"Choudhary Charan Singh University, Meerut ","J.V.Jain College, Saharanpur Mob.No.9412323913 0132-2760139 ",Affiliated College,Uttar Pradesh,Saharanpur
5906,"Choudhary Charan Singh University, Meerut ","KAILASH INSTITUTE OF NURSING AND PARA-MEDICAL SCIENCE 46-A/1, KNOWLEDGE PARK-3, GREATER NOIDA Ph.9810039905, 9818097543 ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5907,"Choudhary Charan Singh University, Meerut ","KAKA HORAM SINGH COLLEGE OF LAW DELHI-SAHARANPUR ROAD, BAGHPAT 9412335619 9837170369 ",Affiliated College,Uttar Pradesh,Baghpat
5908,"Choudhary Charan Singh University, Meerut ","KALANDI COLLEGE MALAKPUR-CHAPURALI ROAD, BARAUT, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
5909,"Choudhary Charan Singh University, Meerut ","KALKA DENTAL COLLEGE PARTAPUR BY PASS, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5910,"Choudhary Charan Singh University, Meerut ","KALKA INST. FOR RESEARCH & ADVANCED STUDIES PARTAPUR BY PASS, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5911,"Choudhary Charan Singh University, Meerut ","KAMKUS COLLEGE OF LAW BHAGIRATH CAMPUS, B-BLOCK, SECTOR-23, SANJAY NAGAR, GHAZIABAD PH. 0120-2786888, 2783555, 09810006444 ",Affiliated College,Uttar Pradesh,Ghaziabad
5912,"Choudhary Charan Singh University, Meerut ","Kanohar Lal Mahila Mahavidyala, Meerut Mob. No.9219702071 Ph.No.2518472, 2671692 ",Affiliated College,Uttar Pradesh,Meerut
5913,"Choudhary Charan Singh University, Meerut ","KATYAYANI COLLEGE OF EDUCATION BADRUDEEN NAGAR, VILLAGE+POST-NANU, SARDHANA ROAD, MEERUT PHONE-9557928869 ",Affiliated College,Uttar Pradesh,Meerut
5914,"Choudhary Charan Singh University, Meerut ","K.D. College, Simbhaoli (Ghaziabad) Mob.No.9927103707 ",Affiliated College,Uttar Pradesh,Ghaziabad
5915,"Choudhary Charan Singh University, Meerut ","KESHAV MARAWADA DEGREE COLLEGE, PILAKHUWA, GHAZIABAD ",Affiliated College,Uttar Pradesh,Ghaziabad
5916,"Choudhary Charan Singh University, Meerut ","KISHAN INSTITUTE OF INFORMATION TECHNOLOGY MEWLA CROSSING, NEAR AMARUJALLA, OPP. MUKET MAHAL BANQUET HALL, DELHI ROAD, MEERUT Ph. No :- 2408400, 01, 05 , 9927131555, 9927500592 ",Affiliated College,Uttar Pradesh,Meerut
5917,"Choudhary Charan Singh University, Meerut ","KISHAN INSTITUTE OF TEACHER EDUCATION MEWLA CROSSING, NEAR AMARUJALLA, OPP. MUKET MAHAL BANQUET HALL, DELHI ROAD, MEERUT Ph. No :- 2408400, 01, 05 , 9927131555, 9927500592 ",Affiliated College,Uttar Pradesh,Meerut
5918,"Choudhary Charan Singh University, Meerut ","KISHAN MAHILA DEGREE COLLEGE KANKERKHERA, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5919,"Choudhary Charan Singh University, Meerut ","KISHAN SAHAI GOKUL CHAND DEGREE COLLEGE, DHANOORI, G.B.NAGAR ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5920,"Choudhary Charan Singh University, Meerut ","K.K. Jain College Khatauli (Muzaffarnagar) Mob.No.9897040441 01396-273620, 272742 ",Affiliated College,Uttar Pradesh,Muzaffarnagar
5921,"Choudhary Charan Singh University, Meerut ","K.M.C. COLLEGE OF NURSING, KMC HOSPITAL, 187, BAGHPAT ROAD, MEERUT ",Affiliated College,Uttar Pradesh,Baghpat
5922,"Choudhary Charan Singh University, Meerut ","Km. Mayawati Government Mahila Degree College, Badalpur (G.B. Nagar) Mob. No.9411089969 ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5923,"Choudhary Charan Singh University, Meerut ","K.N.G.D. MODI ENGG. COLLEGE, MODINAGAR (GHAZIABAD) Ph. No :- 45522, 45566 ",Affiliated College,Uttar Pradesh,Ghaziabad
5924,"Choudhary Charan Singh University, Meerut ",Krishak (P.G.) College Mawana (Meerut) Mob.No.9897074721 ,Affiliated College,Uttar Pradesh,Meerut
5925,"Choudhary Charan Singh University, Meerut ","KRISHANA DENTAL COLLEGE LONI ROAD, MOHAN NAGAR, SAHIBABAD, GZB ",Affiliated College,Uttar Pradesh,Ghaziabad
5926,"Choudhary Charan Singh University, Meerut ","KRISHNA COLLEGE OF LAW VILL.-KAMALPUR, CHHUTMALPUR, SAHRANPUR ",Affiliated College,Uttar Pradesh,Saharanpur
5927,"Choudhary Charan Singh University, Meerut ","KRISHNA INSTITUTE OF EDUCATION 11 KM. MILESTONE, BANA, MAWANA ROAD, N.H.119 MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5928,"Choudhary Charan Singh University, Meerut ","KRISHNA INSTITUTE OF EDUCATION & MANAGEMENT, KHANPUR GURJUR, SAHARANPUR ROAD, GANGOH, SAHARANPUR ",Affiliated College,Uttar Pradesh,Saharanpur
5929,"Choudhary Charan Singh University, Meerut ","KRISHNA INSTITUTE OF MANAGEMENT, BAGPAT ROAD, KITHOLI, MEERUT Ph. 0121-2672668, 2646575 ",Affiliated College,Uttar Pradesh,Meerut
5930,"Choudhary Charan Singh University, Meerut ","K.S. JAIN COLLEGE OF LAW SHAMLI, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
5931,"Choudhary Charan Singh University, Meerut ","LAJPAT RAI TYAGI MEMORIAL COLLEGE BEHAT ROAD, SAHARANPUT ",Affiliated College,Uttar Pradesh,Saharanpur
5932,"Choudhary Charan Singh University, Meerut ","LAKHMI CHAND PATWARI COLL OF EDUCATION DELHI BAGHPAT ROAD, KHEKRA (BAGHPAT), Ph. 0121-2233097, 9412631054 ",Affiliated College,Uttar Pradesh,Baghpat
5933,"Choudhary Charan Singh University, Meerut ","LAKSHMI DEVI KANYA DEGREE COLLEGE, MAWANA, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5934,"Choudhary Charan Singh University, Meerut ",Lala Kishan Chand Government Mahavidyalaya Gangoh (Saharanpur) ,Affiliated College,Uttar Pradesh,Saharanpur
5935,"Choudhary Charan Singh University, Meerut ","LALA MANGAT RAM MAHAVIDYALAYA, 5 Km STONE (OPP. JAIN TUBE CO. LTD.), DELHI - MEERUT ROAD, GHAZIABAD Ph. 0120- 6570164, 2788273, 2788409, ",Affiliated College,Uttar Pradesh,Ghaziabad
5936,"Choudhary Charan Singh University, Meerut ","LLOYED INST. OF MANAGEMENT & TECHNOLOGY PLOT N0-11 KNOWLEDGE PARK-II, GREATER NOIDA Ph. No :- 23202749 ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5937,"Choudhary Charan Singh University, Meerut ","LLOYED LAW COLLEGE, GREATER NOIDA ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5938,"Choudhary Charan Singh University, Meerut ","LORD KRISHNA INSTITIUTE 31, INSTITUTIONAL AREA, PHASE - Ist, BEHIND KAILASH HOSPITAL, GREATER NOIDA , Ph. 011-36002312 ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5939,"Choudhary Charan Singh University, Meerut ","LORD KRISHNA INSTITUTE FOR EDUCATION ATAULLAHPUR, SAHARANPUR Ph. 0132-3250492, 9412424467, 9897709177, ",Affiliated College,Uttar Pradesh,Saharanpur
5940,"Choudhary Charan Singh University, Meerut ","LORD SHIVA INSTITUTE FOR HIGHER STUDIES, SHIKARPUR, BULANDSHAR ",Affiliated College,Uttar Pradesh,Bulandshahr
5941,"Choudhary Charan Singh University, Meerut ","L.R.College, Sahibabad (Ghaziabad) Mob. No.9810095858 2658577 ",Affiliated College,Uttar Pradesh,Ghaziabad
5942,"Choudhary Charan Singh University, Meerut ","L.R. INSTITUTE OF LAW VILL-DOLA RAJPURA, GAUTAM BUDH NAGAR TEL. NO. 9212431500 ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5943,"Choudhary Charan Singh University, Meerut ","L.T.R. INSTITUTE OF EDUCATION KURALI BAGHPAT ROAD, MEERUT Ph. 0121-2881353, 2512682 ",Affiliated College,Uttar Pradesh,Meerut
5944,"Choudhary Charan Singh University, Meerut ","MAA AMBA BALIKA DEGREE COLLEGE GOWLIKHERA, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
5945,"Choudhary Charan Singh University, Meerut ","MAA DRAUPADI DEVI KANYA VIDYALAYA, SHIKARPUR, BULANDSHAR ",Affiliated College,Uttar Pradesh,Bulandshahr
5946,"Choudhary Charan Singh University, Meerut ","MAA KELA DEVI GIRLS COLLEGE, V.P.O. SIKRI KALAN, Near- RAVIDAS MANDIR, NH-58, MODINAGAR , GHAZIABAD Ph. No. 8958650236, 983760113, 9837626264 ",Affiliated College,Uttar Pradesh,Ghaziabad
5947,"Choudhary Charan Singh University, Meerut ","MAA SARASWATI BALIKA MAHAVIDYALAYA, SIKANDERPUR KAIRANA, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
5948,"Choudhary Charan Singh University, Meerut ","MAHADEV INSTITUTE OF TECHNOLOGY, VILLAGE- RAMNAGAR, POST. AMINAGAR SARAI, DISTT. BAGHPAT, Ph. 0121-2962012 9412783177,9456262543, 9897476539 ",Affiliated College,Uttar Pradesh,Baghpat
5949,"Choudhary Charan Singh University, Meerut ","MAHALAKSHMI COLLEGE FOR GIRLS, 11 KM STONE., DELHI-MEERUT ROAD, DUHAI, GHAZIABAD ",Affiliated College,Uttar Pradesh,Ghaziabad
5950,"Choudhary Charan Singh University, Meerut ","MAHALAXMI DEGEE COLLEGE NANGLI ESA, MAWANA ROAD, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
5951,"Choudhary Charan Singh University, Meerut ","MAHAMAYA CHEMALI DEVI DEGREE COLLEGE VILL. FAULADPUR, POST. BRAUDI, SIKANDRABAD, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
5952,"Choudhary Charan Singh University, Meerut ","MAHARAJA AGRASEN COLL. OF HIGHER EDUCATION 5 km. SIYANA-GARH ROAD, PO-SARAI, CHABBILA, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
5953,"Choudhary Charan Singh University, Meerut ","MAHARAJA AGRASEN GIRLS DEGREE COLLEGE, CHARATWAL, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
5954,"Choudhary Charan Singh University, Meerut ",Maharaj Singh College Saharanpur Mob.No.9837636068 0132-2664178 ,Affiliated College,Uttar Pradesh,Saharanpur
5955,"Choudhary Charan Singh University, Meerut ","MAHARANA PRATAP MEMORIAL DEGREE COLLEGE, SHIMALANA, SAHARANPUR ",Affiliated College,Uttar Pradesh,Saharanpur
5956,"Choudhary Charan Singh University, Meerut ","MAHARISHI DAYANAND MANAGEMENT COLLEGE D BLOCK, NEAR-D.L.F. COLONY, ANKUR VIHAR, LONI, GHAZIABAD, PIN CODE-201102 9868081373, 9650163009 ",Affiliated College,Uttar Pradesh,Ghaziabad
5957,"Choudhary Charan Singh University, Meerut ","MAHATMA GAUTAM BUDDH MAHAVIDYALAYA PILKHUWA - MODINAGAR ROAD, PILKHUWA , GHAZIABAD, Mob. 09837793056, 0122-2322003 www.mgmgzb.com, Email. Vashusingh95@gmail.com ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
5958,"Choudhary Charan Singh University, Meerut ","MAHAVEER COLLEGE OF LAW POHALI, SARADHANA ROAD, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
